rank,handle,rating,uncertainty,games,win_rate,activity
35,chaos_2_win,2487,56,1597,51.7,last 2 weeks
36,PUB | Steak,2482,57,1614,51.9,last 2 weeks
37,Matt107,2474,105,463,59.2,last 2 weeks
38,NoLo,2469,51,2090,51.7,last 2 weeks
39,CNZS_Bad Koala,2463,204,57,45.6,last 2 weeks
40,DS_Dragonstar,2454,204,67,55.2,last 2 weeks
41,大白000000,2450,53,1688,62.9,15–30 days
42,NOC | PhilippHJS,2447,69,1219,53.0,last 2 weeks
43,wR.Mochi,2444,57,1319,49.1,last 2 weeks
44,NOC | Target331,2437,68,1255,52.7,last 2 weeks
45,pren,2437,97,253,54.9,last 2 weeks
46,ronotovi,2430,66,1463,57.9,31–60 days
47,odemeister,2425,46,3190,56.6,last 2 weeks
48,Ghost of Chrisybooo,2425,39,4211,55.0,last 2 weeks
49,danger_noodle42,2417,31,5762,56.0,last 2 weeks
50,Sensar,2404,55,1957,55.0,last 2 weeks
51,NOC | Terz,2402,133,315,52.7,last 2 weeks
52,RoR | Kamigawa,2401,218,73,57.5,last 2 weeks
53,pääjehu,2391,50,2415,61.6,last 2 weeks
54,Dobbs351,2381,201,58,48.3,last 2 weeks
55,Oni.Lewis,2364,110,646,47.2,last 2 weeks
56,DS_Ciskhan,2363,95,349,42.4,last 2 weeks
57,OS+ | R4v3N_,2358,69,893,46.4,last 2 weeks
58,RoR | Benanji,2352,116,231,48.5,15–30 days
59,Tulendeena,2351,72,797,56.8,last 2 weeks
60,Grinchy,2341,37,2746,53.8,last 2 weeks
61,Mettiu,2337,83,668,49.1,last 2 weeks
62,江东小霸王,2337,78,669,53.5,last 2 weeks
63,Rgeadn,2333,52,1985,50.5,last 2 weeks
64,Dr.Kozmonot,2325,103,801,52.7,61–100 days
65,Rooster,2324,39,3582,53.7,last 2 weeks
66,GGOut,2320,57,1847,53.6,last 2 weeks
67,coolcat23,2307,40,4262,52.7,last 2 weeks
68,Oni.miguel,2292,177,89,41.6,last 2 weeks
69,RoR | Thofou05,2287,94,383,54.6,last 2 weeks
70,robo_boro,2280,141,276,56.9,last 2 weeks
71,hp_wong,2272,62,961,61.9,last 2 weeks
72,CorsoLa,2271,35,4106,60.6,last 2 weeks
73,RoR | FloDuFive,2271,70,687,61.4,15–30 days
74,STORM | Noszombie,2256,89,342,49.7,last 2 weeks
75,Rodney McKay,2252,39,2943,58.7,last 2 weeks
76,NOC | Acro17,2246,121,302,50.3,last 2 weeks
77,triiitCH2,2240,41,2817,54.8,last 2 weeks
78,OS+ | Tiggerr,2236,48,2047,48.7,last 2 weeks
79,Yakul,2232,53,1926,53.2,last 2 weeks
80,Draconian,2228,139,203,44.3,31–60 days
81,Mo_Tastic,2227,41,3366,52.6,last 2 weeks
82,Imperio_cc,2226,149,299,48.5,last 2 weeks
83,Czech Norris,2224,68,651,68.8,last 2 weeks
84,[Eot_]Salva.Dope,2223,85,529,59.4,31–60 days
85,Oni.dogao,2217,196,61,39.3,last 2 weeks
86,Dziamdziak,2213,94,503,49.3,last 2 weeks
87,Gerrit Beltman,2212,43,3340,53.9,last 2 weeks
88,NakedNipples,2210,39,3992,51.1,last 2 weeks
89,OS+ | aKaTepBackWards,2209,176,97,54.6,last 2 weeks
90,NOC | Madtomski,2203,302,58,44.8,15–30 days
91,Alessaceae,2203,162,73,72.6,last 2 weeks
92,Juyhou,2200,65,980,54.1,last 2 weeks
93,aoclearnRageForest,2196,36,2391,61.4,last 2 weeks
94,PUB | [????]King_Boo,2195,103,402,57.5,31–60 days
95,Zni.speedlimit,2189,122,517,52.2,31–60 days
96,c3mbrich!,2179,63,1432,49.7,last 2 weeks
97,saps_,2176,72,1344,47.8,31–60 days
98,Sir Implosive Plopper,2169,66,1245,60.3,31–60 days
99,calypso1119,2164,94,305,69.2,last 2 weeks
100,Scandalf,2163,37,4532,54.7,last 2 weeks
101,MrPlanner,2163,119,228,46.9,31–60 days
102,DanMT,2162,69,1236,48.6,last 2 weeks
103,Dovecar,2161,108,262,53.8,61–100 days
104,Savage [DE],2153,234,68,54.4,15–30 days
105,OS+ | TheKroks,2145,145,174,45.4,last 2 weeks
106,Fresh To Death,2136,172,241,53.1,15–30 days
107,Glokken,2130,119,340,53.5,61–100 days
108,comastar,2126,92,547,49.2,31–60 days
109,Korkos,2124,127,341,64.5,31–60 days
110,Osama,2120,46,2302,48.7,31–60 days
111,WhiteForest,2119,57,1054,54.2,last 2 weeks
112,Kaeften,2116,99,406,50.7,61–100 days
113,Edgar Davids,2115,57,1094,47.9,last 2 weeks
114,Perseus_LC,2111,61,1096,51.5,last 2 weeks
115,大葱鸭,2111,87,432,67.8,last 2 weeks
116,jouds,2108,72,915,49.4,last 2 weeks
117,Yuki,2106,197,62,59.7,31–60 days
118,_[eC]_Gurke_,2105,82,1416,52.8,15–30 days
119,EMMM | TheVuki,2102,48,2190,53.5,last 2 weeks
120,Multimorbid,2102,42,5153,55.5,last 2 weeks
121,ComaLuksen,2100,55,1618,52.5,15–30 days
122,JoHan,2087,45,2588,53.7,last 2 weeks
123,Firebeer,2080,40,3230,52.9,last 2 weeks
124,ٴ,2076,77,445,66.7,last 2 weeks
125,Savage [TR],2071,201,98,56.1,61–100 days
126,RudelyGreat,2063,72,1211,47.5,last 2 weeks
127,ARCHIE,2050,81,499,51.1,last 2 weeks
128,香香瓜子壳,2049,78,568,53.0,15–30 days
129,aleksanderG,2047,76,625,51.2,61–100 days
130,Molle,2047,124,143,48.3,last 2 weeks
131,连青人,2045,72,643,47.9,last 2 weeks
